date,close
2026-01-01,26146.55
2026-01-02,26328.55
2026-01-05,26250.3
2026-01-06,26178.7
2026-01-07,26140.75
2026-01-08,25876.85
2026-01-09,25683.3
2026-01-12,25790.25
2026-01-13,25732.3
2026-01-14,25665.6
2026-01-16,25694.35
2026-01-19,25585.5
2026-01-20,25232.5
2026-01-21,25157.5
2026-01-22,25289.9
2026-01-23,25048.65
2026-01-27,25175.4
2026-01-28,25342.75
2026-01-29,25418.9
2026-01-30,25320.65
2026-02-02,25088.4
2026-02-03,25727.55
2026-02-04,25776.0
2026-02-05,25642.8
2026-02-06,25693.7
2026-02-09,25867.3
2026-02-10,25935.15
2026-02-11,25953.85
2026-02-12,25807.2
2026-02-13,25471.1
2026-02-16,25682.75
2026-02-17,25725.4
2026-02-18,25819.35
2026-02-19,25454.35
2026-02-20,25571.25
2026-02-23,25713.0
2026-02-24,25459.35
2026-02-25,25482.5
2026-02-26,25496.55
2026-02-27,25178.65
2026-03-02,24865.7
2026-03-03,24865.7
2026-03-04,24480.5
2026-03-05,24765.9
2026-03-09,24028.05
2026-03-10,24261.6
2026-03-11,23866.85
2026-03-12,23639.15
2026-03-13,23151.1
2026-03-16,23408.8
2026-03-17,23581.15
2026-03-18,23777.8
2026-03-19,23002.15
2026-03-20,23114.5
2026-03-23,22512.65
2026-03-24,22912.4
2026-03-25,23306.45
2026-03-26,23306.45
2026-03-27,22819.6
2026-03-30,22331.4
2026-03-31,22331.4
2026-04-01,22679.4
2026-04-02,22713.1
2026-04-03,22713.1
2026-04-06,22968.25
2026-04-07,23123.65
2026-04-08,23997.35
2026-04-09,23775.1
2026-04-10,24050.6
2026-04-13,23842.65
2026-04-14,23842.65
